[-1441,-2228,8],1
-2208,-60,9,2
602,-2441,9,1
54,-683,7,1
-1442,1393,11,2
-1279,521,11,2
-781,-489,8,1
-1386,-17,10,1
2472,-99,10,1
-2178,606,8,1
-2845,-904,12,2
-2394,703,9,1
2406,-1418,8,2
2907,-439,8,2
2238,1891,10,2
-120,-2152,10,1
725,-2279,9,2
-1966,2225,7,1
1788,121,8,1
1541,-1958,11,2
2763,-522,9,2
2252,936,10,1
-597,-1349,11,2
-975,2223,11,1
1349,-184,8,1
1094,1888,9,2
-1115,1973,9,2
2255,1173,8,2
1392,-288,9,1
-76,-2609,8,2
-511,-650,11,2
1418,-2574,7,2
-39,1167,8,1
-1137,-44,7,1
339,-290,9,1
2282,-62,9,2
-1215,809,10,1
2293,-1587,11,2
-2580,-932,11,1
1935,-1522,11,2
808,568,12,2
-1160,-2476,9,1
-2120,530,12,2
-403,2262,7,2
854,1251,7,2
1524,342,8,1
1054,1894,8,1
1049,-338,7,1
303,-3,8,2
1963,1974,12,2
-1104,-640,8,1
-2237,-1160,12,2
-259,-2461,12,2
-1279,521,12,2
-1464,1247,9,1
-848,1788,10,1
967,-173,8,1
685,38,11,2
-1195,679,7,1
1444,784,12,2
-2127,-1057,12,2
-1889,782,9,1
1819,1537,8,1
421,-629,11,1
2427,280,10,2
509,1780,7,1
555,-2194,7,1
2363,-361,10,1
-781,-489,9,1
-1164,-2006,7,1
-2092,-680,11,1
2062,-1927,7,2
1538,1688,9,2
2416,-1380,7,2
-1137,-2260,9,1
-440,2884,8,2
-2535,1160,12,2
-1955,2097,12,2
-1194,237,12,2
2264,1560,12,2
-2371,1701,10,2
-132,1556,9,1
2215,-1443,7,1
1241,170,8,1
-1736,-2388,12,2
-2030,1571,10,1
2265,511,11,2
-390,-2189,12,2
-884,-212,9,1
2511,-458,10,1
966,-735,9,1
339,-290,12,2
-2834,198,12,2
1274,2328,11,2
-2333,1773,12,2
2480,976,8,2
-2790,-445,11,2
589,-2715,8,2
2379,950,8,2
716,39,8,1
-132,1556,7,1
-583,-324,12,2
-1104,-640,7,1
-2127,482,8,1
966,804,11,2
412,2063,7,1
-1250,1187,9,1
162,2436,10,2
646,-2281,12,2
-548,2434,10,2
1156,-2393,7,1
372,2487,10,2
-810,-2763,10,2
725,-2279,10,2
-318,1732,10,1
1934,-1748,9,1
-1044,1684,7,2
1881,834,9,2
-221,-2105,11,2
-1069,163,11,2
689,1504,12,1
-1084,1374,11,2
-1272,-833,8,1
-644,2550,11,2
1953,-1867,9,1
808,568,12,2
-1512,-2589,9,2
-2241,112,10,2
1204,1863,9,2
-1000,1351,10,2
-2867,-75,11,2
136,1646,10,1
-1129,389,9,1
2574,458,11,2
1239,698,11,2
1522,-599,9,1
-1329,-214,12,2
-2554,1533,8,2
966,804,8,2
-855,-1677,12,2
-1523,-762,12,1
1271,-530,9,2
-1258,-1733,12,2
-1032,2657,12,2
-1209,-1095,11,1
-770,1099,11,1
-1955,2097,10,2
-1124,-2738,8,2
-1160,-2476,9,2
876,-1610,9,2
1910,1163,12,2
2757,717,11,2
533,-2427,8,2
1457,1156,10,1
-224,715,8,1
-1944,1874,8,2
786,108,9,2
1410,2626,9,2
-1962,448,9,2
-856,-868,12,2
-300,-2226,8,2
464,2906,11,1
-781,-489,12,2
782,-692,7,1
-2184,1308,11,2
2086,-947,9,1
166,-673,9,2
-2208,226,7,1
-666,-1708,10,1
-170,1813,10,1
-1250,1187,9,2
-1238,81,9,1
-509,-1652,8,1
-362,1983,7,1
1418,1344,10,2
-2983,198,9,1
1821,512,9,1
-2115,1740,11,2
2117,-1644,10,2
1503,-1648,12,1
1418,-3,10,2
-1659,-452,8,1
2720,970,10,2
421,-629,8,2
-318,1732,10,2
136,1646,10,1
2507,-853,10,2
1848,1756,10,2
876,-1610,9,2
-570,-1217,9,1
878,-925,8,1
124,1685,12,1
745,-410,10,2
1158,1539,10,2
-1510,-1943,12,1
1723,-1443,9,1
162,2436,8,2
-1737,-1671,9,1
-2664,-156,9,2
-813,2749,9,2
2250,-1619,12,2
-192,-1333,11,2
2042,1662,11,2
-1025,2382,9,2
-173,521,11,2
2419,35,9,1
329,978,11,1
409,1966,12,2
-676,1222,10,1
-834,-2055,7,2
-166,1250,12,2
-1160,-1369,7,1
2473,104,11,2
136,1646,8,1
1677,1720,9,2
-4,-2261,7,2
2149,2066,11,2
646,-2281,9,1
-825,242,10,1
619,1519,12,2
-597,-1349,8,1
190,1784,8,1
-2462,-467,7,1
1935,1170,10,2
1425,433,10,2
2072,-255,10,2
1441,-2501,9,1
-1507,-1896,11,2
-952,-2573,11,2
365,-2643,8,1
-1354,-1863,9,2
-2018,1666,8,1
-770,1099,9,1
-440,496,12,2
-1734,-1061,7,1
-1145,-1874,8,1
1002,1548,12,2
-1669,-1550,9,1
2041,425,7,1
520,-1956,11,2
2447,105,9,1
-2249,1345,8,2
-1873,1337,9,2
-1104,-640,10,1
-813,2749,11,2
-344,-2542,12,2
689,1504,11,1
-1571,-2100,9,1
-526,-1369,11,2
-2474,398,10,2
-2045,-1855,10,2
724,-323,8,1
969,2134,8,1
2870,-610,12,2
-788,2045,12,2
1364,509,10,2
-2332,71,8,2
2422,473,9,1
-827,-2571,8,2
1969,466,10,2
-12,2999,8,2
-1819,-1370,8,1
752,2270,12,2
358,2363,8,1
555,-2194,7,1
151,958,10,1
-1077,2170,9,1
365,-2643,7,1
-2586,-696,11,2
1823,-348,9,1
-714,-124,10,1
2337,622,7,2
-650,870,7,1
1734,1156,12,2
-2238,-590,12,2
-2420,1211,10,2
1515,-1816,11,2
142,-1439,11,2
-828,-1915,11,2
1540,-1303,8,1
-192,-1333,11,2
-2624,-343,12,2
-737,399,11,2
1288,-46,10,1
-2790,-445,11,2
-277,1521,7,1
-753,-2628,10,2
2796,586,10,2
725,-2279,7,1
1819,1537,8,1
1503,-1648,11,2
1083,2123,10,1
-914,-2637,10,2
2332,1516,12,2
967,-173,11,2
-2006,739,8,2
-1074,307,12,2
-2465,282,8,2
-2115,1740,8,2
1672,609,12,2
770,-136,10,1
2835,633,11,2
-1152,2540,8,2
-1593,2063,11,2
412,2063,12,2
-1857,-2161,9,2
-1732,-1445,12,2
35,1218,8,1
-213,-724,9,1
2422,-242,11,1
1371,113,10,1
6,260,8,1
2779,842,9,2
-1250,1187,7,1
-2386,-1718,9,1
-2579,-644,10,1
2250,-214,10,1
-401,625,12,2
-2534,20,11,2
-1659,-452,12,1
821,-1997,12,2
1306,365,8,1
490,-1635,12,2
-1889,183,12,2
1750,2406,11,2
-2580,-932,11,2
2574,458,10,2
2463,345,8,2
100,-2355,8,1
-1739,1082,11,2
298,2965,8,2
2416,-1380,7,1
-268,-1005,9,1
2172,-520,12,2
1244,-1747,12,2
-60,1708,12,1
2202,1512,11,2
-169,2968,8,2
544,1119,8,1
-2253,850,12,2
2102,744,10,1
-1793,583,11,2
-807,-2458,10,2
2207,169,7,1
2480,976,11,2
-1819,-1370,9,1
-38,1729,7,1
-1258,-1733,7,1
1945,-949,11,1
469,367,12,2
-245,-2765,11,2
1015,-2136,11,2
-12,2999,8,1
-630,-2347,12,2
-564,715,9,1
563,-751,12,2
743,-2875,11,2
-2120,530,9,2
969,2134,10,1
-2541,-597,9,2
164,1130,11,1
2384,283,12,2
-912,66,10,1
-665,-2313,10,2
-1549,2144,9,2
2102,744,11,2
1918,-441,8,1
-13,-2674,7,2
1081,1216,11,2
-367,1956,12,2
-227,2105,12,2
-636,-2398,7,1
-952,-2573,9,2
266,407,7,1
-640,-1054,12,2
-781,-489,10,1
-964,-1431,11,1
-1727,-1237,9,1
-1697,888,8,1
1505,1441,9,2
-607,2713,10,1
1408,960,7,1
-2983,198,9,2
274,2566,12,2
2730,-901,9,2
689,1504,11,2
-394,874,9,1
-1944,1874,11,2
872,-1010,9,1
13,2556,7,1
806,2696,7,2
-37,2100,12,2
-834,-2645,7,1
1444,784,9,2
2140,-1690,9,2
-952,742,10,1
714,2207,8,1
-1204,-1867,11,1
752,2270,8,2
2205,803,9,2
-1792,1882,10,1
1566,-959,8,1
809,619,9,1
855,-660,12,1
-1697,888,7,1
312,2932,7,2
-464,1578,12,1
674,2040,7,2
509,1780,11,1
1313,-2691,12,2
-2609,-1047,12,2
-722,-1514,8,1
-1209,-1095,12,1
-2115,1740,10,2
329,2084,9,1
1751,1969,7,1
-884,-212,10,1
-1908,806,8,1
2102,744,11,2
-1000,1351,9,2
2674,256,8,1
-367,1956,9,1
2650,636,10,2
-1104,-640,7,1
-1929,2219,9,2
743,-2875,11,2
-838,1140,10,1
-583,-226,10,2
-1115,1820,12,2
-1648,828,11,2
-1880,2146,7,2
439,2234,9,2
1734,1156,12,2
21,-1626,11,2
2414,-579,10,1
2089,-1752,12,2
-1137,-2260,7,1
684,1683,11,2
-1571,-2100,10,1
1966,1189,12,2
885,-2451,7,1
2392,242,8,1
-385,-171,11,2
-38,1729,9,1
24,1771,8,1
638,2001,11,1
2207,169,12,2
-719,789,8,1
-319,-1267,9,1
2574,458,12,2
-1683,-299,11,2
-2847,766,12,2
-440,2884,11,2
-1084,1374,9,1
-2394,703,10,2
2305,-1780,12,2
403,-1562,10,2
905,1119,7,1
1864,849,10,2
-24,1203,12,1
485,1508,8,1
-2116,1016,10,2
-714,-124,10,2
-352,-2051,11,2
-135,-459,10,2
-474,-2628,7,1
173,348,8,2
-219,-1185,10,2
2507,-853,11,2
-2253,850,11,2
-989,-2291,8,2
-1125,2523,12,2
2417,-1134,12,2
876,-1610,8,1
-1727,-769,11,1
-781,-489,11,2
-272,-1623,10,2
1058,-639,12,1
-1737,-1598,7,2
-1104,-640,10,1
601,404,10,2
-869,105,12,2
1503,-1648,10,1
-1106,137,9,1
1887,559,12,2
-729,1270,9,2
754,2088,9,2
1244,-1747,11,1
-2404,730,11,2
2161,1987,8,1
288,1096,7,1
-1464,1247,9,2
-1245,1417,10,1
-403,2262,11,1
1834,-281,12,2
-254,-1804,11,2
-2622,-995,11,2
-2345,-314,7,1
983,-1428,12,2
2711,-530,7,2
35,-1221,12,2
2038,1866,9,2
1803,-1231,7,1
1819,1537,10,2
-2354,527,12,2
-110,-1030,11,2
-1067,2285,9,1
266,407,12,2
-1061,1047,10,1
1566,-959,9,1
-1966,1114,11,2
276,602,7,1
-629,-313,7,1
273,-1002,10,2
-2434,1363,9,1
-1185,312,7,1
-718,-2432,12,2
-1464,1247,7,1
531,-98,10,2
1069,-656,10,1
63,-1677,12,2
-2867,-75,10,2
-1298,2124,11,2
2318,344,11,2
2337,622,8,1
874,334,11,2
-1356,-1918,11,1
577,-2133,9,1
-954,-2383,8,1
2732,297,8,1
-112,2036,11,1
1710,-1019,12,1
-802,-360,9,1
900,2291,7,2
185,-247,9,2
298,2965,8,2
-1084,1374,12,2
485,1508,8,1
599,1293,10,1
-1431,-1228,7,1
-1683,-299,10,1
1425,-947,8,1
1098,1577,10,1
1953,-1867,10,1
-912,66,12,2
-2115,1740,8,2
31,-448,8,1
19,2511,11,1
1226,-1979,12,2
-344,-2542,8,2
1158,1988,7,1
-2053,155,12,1
-1178,-1366,8,1
-968,-815,9,2
-1828,-1098,9,2
-1697,888,9,2
11,-2059,7,1
-856,-868,11,1
1089,241,12,2
2304,-205,11,1
-166,1250,9,1
-2624,-343,7,2
-752,-1975,8,2
2140,-1690,8,1
-1041,-751,8,1
-1735,398,10,2
-615,-2733,8,1
221,1140,9,1
-1152,1280,10,1
2959,-4,9,2
677,2579,7,1
2342,1428,7,2
1154,-467,7,2
1271,-530,7,2
-2657,-415,10,2
-2983,198,10,2
-813,2749,8,1
2548,-1575,9,1
-1208,-1560,8,1
677,2579,12,2
-236,105,9,2
-2102,-1748,9,2
1008,2043,9,1
725,-2279,10,1
2371,-281,12,2
1139,1931,7,1
1959,524,7,1
-630,-2347,10,1
824,1085,8,1
-2830,-340,8,1
1602,-1406,9,1
658,1412,12,2
2252,936,10,2
2293,-1587,12,2
1461,-1159,12,1
-1830,-831,7,1
-1659,-452,9,1
19,2511,9,1
113,-723,8,1
-765,570,12,2
1282,1995,12,2
264,-311,12,2
-2410,252,7,2
276,602,10,2
-1065,-2158,10,2
1697,313,8,1
1112,63,10,1
-2897,441,12,2
2596,-1028,9,1
24,1771,7,1
59,588,10,1
1795,570,11,2
-1561,-1942,7,1
1715,-1408,8,2
-2120,530,9,1
1566,-959,8,1
1601,-2036,11,2
-2743,-294,10,2
-1703,-455,10,1
-1949,1516,11,2
1079,2137,7,1
1941,-1194,7,1
1612,-2181,9,2
-300,2488,9,1
113,-723,7,2
1313,-2691,10,1
943,-1249,9,1
695,-137,9,2
-717,-956,9,1
35,1218,8,1
1803,-1231,8,1
1726,2156,7,2
-447,268,9,2
1392,-1978,8,2
-2345,-314,12,2
-235,1617,12,1
1848,1756,9,2
-268,-1005,11,2
35,1218,9,1
672,-35,8,1
-1966,2225,7,2
1618,1747,9,2
-1876,-907,9,1
-1215,809,11,2
2956,477,10,2
-1254,1144,11,2
851,-2644,9,2
-1431,-1228,11,2
-1204,-1867,11,2
1883,2066,9,2
-2586,-696,9,2
-607,2713,10,1
-386,-1020,12,2
2422,473,12,2
-27,-481,10,2
-492,2439,8,1
-2354,527,9,1
2614,1312,10,2
-2790,-445,10,2
2258,-526,10,1
730,-364,7,1
-2310,1133,8,1
-440,2884,7,1
-1734,-1061,11,1
745,-410,9,1
227,1848,9,1
358,2363,8,1
-719,789,10,2
-1065,-2158,10,2
-1537,1158,10,2
-1306,441,12,2
-221,-2105,11,2
1764,23,12,2
-763,-1235,10,1
1418,-2574,8,2
2833,-337,12,2
2472,-99,9,1
1601,-2131,8,2
-229,2561,7,1
-2664,-156,11,2
-1201,2608,8,2
40,1542,10,1
1464,436,12,2
-2310,1133,8,2
-547,-2763,8,2
2744,-737,12,2
-1065,-2158,10,2
1674,412,12,2
1468,-594,11,2
-1011,-2166,7,1
-547,-2763,10,2
-1857,-980,10,2
-254,-1804,7,2
434,2385,9,1
395,2159,8,1
-1104,-640,10,1
266,407,12,1
1398,-815,11,1
-1593,2063,11,2
-209,-1490,9,2
-2534,20,7,2
63,-1677,12,2
-1263,2256,8,1
221,1140,10,1
-828,-1915,11,2
-36,-2279,11,2
852,-2842,12,2
1081,1216,10,2
1624,2267,7,2
999,-1203,7,1
2230,43,8,2
-1819,-1370,7,1
142,-1439,8,2
2835,633,8,2
162,2436,9,1
1058,-639,9,1
-411,-1764,8,2
-2796,-747,7,1
-150,345,8,1
523,699,7,1
1011,-1783,7,1
816,2571,10,1
412,2063,9,1
-1982,839,9,1
2266,758,9,1
-734,-2639,11,2
-719,789,11,2
339,-290,7,1
2201,-1599,12,2
-236,105,7,1
128,1119,9,1
978,-2763,7,2
2471,1543,8,1
-1727,-769,9,1
-2120,530,8,2
2318,344,8,1
185,-247,12,2
35,-1221,7,1
-682,-2177,11,2
164,1130,11,1
-1531,-524,12,1
-1445,-1695,9,2
-268,-1005,9,2
1994,-2188,9,2
1612,-2181,11,2
162,2436,11,2
-864,-1327,12,2
152,126,7,1
1457,1156,12,2
-2746,-975,11,2
-1046,-1966,7,1
2392,242,11,1
-310,-1954,12,2
-208,-1711,8,1
-460,1222,10,2
1599,-313,9,1
329,2084,10,2
-141,-2437,10,2
1963,1974,7,2
-622,-543,8,1
-1429,444,10,2
375,1636,12,1
1477,-1706,10,1
266,407,7,1
892,2007,10,1
-1577,1521,11,1
2720,970,10,2
2072,-255,9,2
-2400,1404,8,2
695,-137,9,2
599,1293,8,1
-535,326,8,1
808,568,9,2
1444,784,8,2
1079,2137,10,1
-1333,-813,8,1
-183,1945,7,1
1238,-178,8,1
1445,816,9,2
-722,-1514,12,2
1292,-2356,8,2
1963,1974,12,2
-1999,365,9,2
1600,1601,8,2
-1410,-574,10,1
-2643,365,10,2
978,1973,9,2
221,1140,8,1
2441,-296,8,2
-224,715,9,2
136,1646,9,1
-1092,-309,7,2
1710,-1019,8,1
-217,-125,12,2
-431,-2532,10,2
-1999,365,8,1
-1687,-766,7,1
173,348,10,2
-809,683,11,2
-1470,1064,8,1
-216,1159,12,2
-224,715,10,2
-750,1844,10,2
-2208,-60,12,2
-1819,-1370,8,1
520,-1956,10,2
-952,-2573,9,2
-1734,-1061,11,1
439,716,10,2
406,-2490,9,1
805,-2589,10,2
2641,-509,7,1
2224,-1574,8,1
-1093,-2173,10,2
-1769,-270,10,1
1945,-949,12,2
-166,1250,11,2
-2087,-596,12,1
-103,1586,8,1
-1204,-1867,9,1
-344,-2542,11,2
-813,2749,10,2
-1988,725,7,2
1795,1492,9,2
-526,-1369,10,2
395,2159,12,2
-291,-118,8,1
967,-173,9,1
-1259,2369,7,2
-1982,839,10,2
456,-1497,10,2
1083,2123,12,2
120,1893,11,1
885,-2451,10,2
2845,-272,8,1
-2541,-597,7,1
2414,-579,11,1
-440,496,10,1
262,1448,12,1
-1274,1686,8,2
2392,242,9,2
-710,1883,8,2
35,1218,8,1
1601,-2036,9,1
-789,2242,7,1
57,-223,12,2
-1867,-1765,8,2
2104,-429,7,1
-1571,-2100,8,2
-630,-2347,9,2
-2393,686,9,2
-64,70,11,2
-390,-2189,8,1
-1466,2442,12,2
-150,345,11,2
2424,210,10,2
-1064,-1638,9,1
-1423,-416,8,1
1874,1662,10,2
-2630,281,9,2
-843,1100,7,1
1002,-943,12,2
1015,-2136,8,2
769,2649,11,2
-2504,261,12,2
1519,-1937,7,2
377,-2797,10,2
716,39,8,1
1827,-722,12,1
846,-829,10,1
-16,2540,8,1
-2063,1620,8,2
2404,893,7,1
456,-1497,8,2
1015,-2136,10,2
1569,-5,7,1
-1674,-357,9,1
2337,622,11,2
-1908,806,10,1
-1880,2146,8,2
409,1966,9,1
2606,-646,12,2
-114,-1206,12,2
2258,-526,12,2
913,-2066,10,2
-556,2234,11,2
385,-2556,8,2
790,1754,8,1
2241,1815,9,2
2492,468,11,2
2206,766,8,2
528,-1808,10,2
329,2084,7,1
-345,1002,11,2
-1137,-2260,9,1
406,-2490,10,2
2758,719,11,2
365,-2643,9,2
777,2225,12,2
-984,1742,11,2
1047,800,11,2
1595,2093,7,2
-2434,1363,9,2
1461,-1159,10,1
1488,652,12,2
-1737,-1598,7,1
2363,-361,11,2
-564,715,10,2
-1093,-2173,10,2
-38,1729,10,1
-1429,444,11,2
-431,574,11,2
2041,425,8,1
1997,-1187,12,2
967,-173,12,2
-829,1322,10,2
1153,149,12,2
1297,1888,8,2
2756,-469,8,2
-31,1532,11,1
-644,2550,8,2
-1966,1114,9,2
-104,2450,8,2
2342,1428,8,2
-2580,-932,9,2
-1571,-2100,9,2
-1077,2170,8,2
-834,1395,9,1
-994,-1172,11,1
-1263,2256,7,1
-229,2561,12,2
-447,268,12,2
2780,503,9,1
-623,146,10,2
2777,123,10,2
-2209,52,10,2
1623,2431,12,2
-1735,398,11,2
876,-1610,8,1
-2979,346,12,2
-141,-2437,8,2
-473,1074,12,2
-1857,-980,9,1
1350,-1711,10,2
842,-1411,11,2
-217,-125,10,2
2586,-382,7,1
-1386,-17,9,2
-2006,739,10,2
879,2484,12,2
577,-2133,8,1
0,-34,10,1
-550,2234,7,1
1781,1630,8,1
173,348,9,2
9,1460,10,1
-132,1556,11,1
-636,597,9,2
2470,-154,8,1
-120,-2152,9,2
-1510,-1943,8,2
-2124,1532,9,2
1566,-959,11,1
31,-448,8,2
880,1254,8,2
-1066,-29,11,2
2468,1351,7,2
-440,2448,10,1
2293,-1587,11,2
2062,-1927,11,2
-2000,725,12,2
-2474,398,9,1
983,-1428,11,2
-1876,-907,12,2
2611,326,7,2
-834,1395,7,1
1461,-1159,9,1
-1967,-748,10,1
2222,327,11,2
-1160,-1369,12,2
680,1205,11,1
2911,-343,12,2
-1683,-299,9,1
690,-2153,12,2
1858,986,12,2
2907,-439,9,2
-763,-1235,12,2
777,2225,8,2
-249,-381,7,1
2201,-1599,9,1
128,1119,8,1
-630,-2347,12,2
2252,936,7,2
467,-2090,10,2
724,-323,7,1
194,432,12,2
-2683,855,10,2
2763,-522,12,2
1349,-184,10,1
-1088,-833,11,1
-641,589,11,1
-1104,-640,8,1
1154,-467,9,1
-2333,1773,10,2
-1982,839,7,2
-1115,1973,10,1
2200,1028,7,2
1451,90,7,1
-2107,702,9,2
-39,1167,8,1
492,2620,9,2
-1442,1393,9,2
-1152,2540,7,2
-249,-381,7,1
-1272,-833,7,1
966,804,7,1
329,978,8,1
2041,425,10,1
-1386,-17,11,2
-1185,312,11,2
-555,1808,7,1
285,-2520,12,2
354,1709,12,1
-319,-1267,8,1
966,804,9,2
-124,2958,7,2
1049,-338,7,1
1541,-1958,11,2
2720,970,10,2
303,-3,8,1
1444,784,9,2
-490,652,8,2
-1962,448,8,2
1677,1720,7,1
-975,2223,12,2
-231,-2828,9,2
-1714,-1036,8,1
2252,936,11,2
-1254,1144,8,1
288,1096,9,1
-1652,104,10,1
1154,-467,8,1
-511,-650,7,1
2264,1560,10,2
-788,2045,11,2
2205,803,11,2
1716,116,9,1
-649,-2372,12,2
-1889,782,9,1
276,602,10,1
777,2225,12,2
-848,1788,9,1
-1051,-719,11,1
-2208,-60,12,2
1935,-1522,11,1
-245,-2765,11,2
1083,2123,12,2
1526,-1787,10,2
-816,-2324,12,2
-1164,-2006,10,2
456,-1497,10,2
745,-410,8,1
-2680,-971,12,2
821,-1997,8,2
-458,782,10,1
-964,-1431,11,1
-813,2749,7,1
577,-2133,12,2
1538,1688,8,1
1241,170,8,2
-170,1813,7,1
2667,-1007,8,2
-636,597,7,2
2574,458,10,2
-1410,-574,8,1
164,1130,11,1
-37,2100,9,1
-710,1883,8,1
-66,-1051,12,2
-217,-125,10,1
-1531,-524,12,2
-2371,1701,12,2
-666,677,7,2
-1966,1114,8,1
-1659,-452,12,2
-2030,1571,7,2
-1703,-455,8,1
-2979,346,11,2
1624,2267,12,2
-2115,133,9,2
-1093,-2173,7,1
589,-2715,9,2
-2237,-1160,10,2
-1065,-2158,7,1
2379,950,9,2
-2092,-680,10,2
2511,-458,12,2
-1069,163,9,2
-12,-1668,8,1
-270,-370,9,2
824,1085,7,1
288,1096,9,1
2764,-1115,8,1
969,2134,11,2
-385,-171,10,1
2120,-520,12,2
1156,-2393,11,2
-2237,537,12,2
2404,893,9,2
-1066,-29,7,1
-1827,1639,9,2
-1044,1684,9,2
6,260,9,2
-440,2448,11,2
-1125,-2448,12,2
-740,-1446,9,1
2266,758,10,1
1274,2328,12,2
876,1534,12,2
-120,-2152,7,1
-810,-2763,11,2
185,-247,12,2
1515,-1816,10,1
-1726,-1711,7,1
2176,1221,8,1
-2535,1160,7,1
1008,2043,11,2
-1966,1114,8,1
2596,-1028,11,2
2255,1173,12,2
2041,425,9,1
-1736,-2388,10,2
966,-735,11,2
-649,-2372,8,1
-1129,389,10,2
2363,-361,11,2
329,978,9,1
1526,-1787,7,2
-2554,1533,10,2
2264,1560,8,2
1522,-599,12,2
35,1218,8,1
-310,-1954,9,1
2586,-382,8,2
-1243,2012,12,2
2161,1987,9,1
-1124,-2738,10,2
-1955,2097,10,2
194,432,12,2
1515,-1816,8,1
2606,-646,7,1
-300,-2226,9,1
-2152,-1900,12,2
31,-448,11,2
786,108,10,2
-231,-2828,11,2
162,2436,10,2
2881,-423,9,2
854,1251,11,2
-1507,-1896,12,2
-1935,1557,10,2
-310,-1954,11,2
2342,1428,7,2
-1080,-775,7,1
285,-2520,10,2
403,-1562,11,2
1023,-1361,9,2
-2404,730,9,2
485,1508,11,1
-1700,-19,8,1
1398,-815,8,1
-1659,-452,10,1
-1238,1778,10,2
1239,698,7,2
-424,-933,9,2
-2241,112,10,2
1910,1163,9,2
-509,-1652,9,2
-362,1983,10,1
-385,-171,11,2
1425,-947,8,1
821,-1997,8,2
-666,-1708,10,2
1966,1189,12,2
-864,-1327,10,2
816,2571,12,2
2757,717,11,2
-719,789,8,1
533,-2427,9,2
1418,1344,7,1
2041,425,9,2
-1284,2490,10,2
-1523,-762,9,1
464,2906,8,1
-828,727,12,2
878,-925,7,1
-406,2134,9,1
145,1049,10,2
-134,-1164,10,2
-270,-370,10,2
1526,-1787,11,2
-570,-1217,11,2
2033,1370,12,2
227,1848,10,1
2896,-540,12,2
2791,-684,10,2
2258,-526,7,1
-217,-125,10,2
467,-2090,11,2
-1084,1374,9,1
-2209,52,11,1
-855,-1677,9,1
1723,-1443,9,1
-1737,-1671,10,2
-828,-1915,7,1
658,1412,12,2
-1032,2657,12,2
1316,2465,11,2
2264,1560,11,2
-1194,237,12,2
-1025,2382,11,2
35,-1221,10,1
2419,35,12,2
-895,947,7,2
-1431,-1228,12,1
365,-2643,10,2
-1873,1337,9,2
-615,-2733,12,2
-2249,1345,11,2
2149,2066,10,2
2767,655,10,2
-861,-1538,7,1
-661,2685,9,2
1987,1323,12,2
190,1784,7,1
266,407,12,2
-2045,-1855,9,2
-676,1222,9,2
-1648,828,8,1
-1238,1778,10,1
1910,1163,9,2
921,608,7,1
2711,-578,11,1
-2540,-117,12,2
-1319,-2438,9,2
2252,936,11,2
227,1848,9,1
-2420,1211,7,2
412,2063,12,1
-1077,1403,10,1
167,-223,12,2
-1793,583,7,1
1821,512,12,2
1418,-3,10,1
-2018,1666,10,2
1827,-722,9,1
-1697,888,7,1
622,2534,8,2
124,1685,8,1
2447,105,9,2
-1279,521,11,2
724,-323,7,1
-1949,1516,11,2
-1246,-201,10,1
1197,-2068,9,1
-1204,-1867,11,1
743,-2875,8,2
-2009,1636,8,2
1158,1421,8,1
21,-1626,8,2
-948,-1392,7,1
1425,-947,11,1
-2332,71,8,2
999,-1203,8,2
-1511,994,12,2
-829,1322,8,2
-1429,444,12,2
-1966,2225,9,2
-38,1729,11,1
-765,570,9,2
128,1119,10,1
1364,509,10,2
-1700,-19,9,1
-1003,806,8,1
-650,870,11,2
31,-448,10,1
806,2696,9,2
1969,466,8,2
2266,758,8,2
690,-2153,11,2
1540,-1303,11,1
-1386,-17,7,1
285,-2520,11,2
-277,1521,11,1
-2586,-696,7,1
1197,-2068,12,1
716,39,10,1
-1319,-2438,7,1
261,2873,10,1
-2465,282,7,1
2806,572,10,2
-753,-2628,10,2
-2045,-1855,10,2
-36,-2279,11,2
1204,1863,7,1
1292,-2356,8,1
533,-2427,7,1
2796,586,9,1
-856,-868,10,1
-649,-2372,7,2
-1185,312,7,2
-1007,569,11,2
-914,-2637,12,2
-406,2134,7,1
-1027,1647,8,1
-1272,-833,8,1
-173,521,11,2
2255,1173,7,1
1445,816,9,2
1409,1473,9,2
-1731,-2368,9,2
-2534,20,9,2
1488,652,9,2
770,-136,9,2
1750,2406,10,2
-2664,-156,7,1
1392,-1978,9,2
1858,986,11,2
-401,625,9,1
-1386,-17,12,2
725,-2279,10,2
288,1096,8,1
684,1683,11,1
9,1253,10,1
-2462,-467,9,2
-2845,-904,9,2
-440,2448,8,1
2779,842,7,1
-1464,1247,10,2
1371,113,8,2
47,636,11,2
876,-1610,8,2
-1238,1778,7,1
365,-2643,10,2
1598,1415,10,2
-729,1270,12,2
-1571,-2100,12,2
-828,727,12,2
-2238,-590,10,1
1819,1537,8,2
-1254,1144,9,1
1601,-2131,7,1
1165,-36,8,1
-1970,-1949,8,1
-2579,-644,7,1
-1145,-1874,9,1
100,-2355,7,1
1074,527,11,2
-827,-2571,7,2
2287,-543,11,2
1346,-585,8,1
-124,2958,12,2
-2657,-415,9,1
-169,2968,12,2
-547,-2763,11,2
544,1119,10,1
-69,-1280,8,1
2332,1516,10,2
166,-673,7,1
-2303,-967,11,2
-2177,634,10,2
1079,2137,10,1
1410,2626,11,2
855,-660,11,1
2606,-646,11,2
-16,2540,11,1
2586,-382,10,1
-807,-2458,10,2
-2178,606,10,2
1751,1969,7,2
2200,1028,11,2
-1371,-1748,12,2
-1732,-1445,12,2
